dataset,channel,activation,treatment,dose_label,construct,run,replicate,well,lag_sec,density_plated,n_cells,mu_lo,mu_hi,w_hi,sep,ll,n_lo_eff,n_hi_eff,mean_y,med_y,thr_frac,sigma_bio,converged,weak_low,weak_high,weak_sep,note,sigma_unstable,dose_num,pma_units,arm
density,phase,24h prior,none,1E6,primary,density,2,1E6_24stim_rep2,540.0,1000000.0,285,1.133809064444034,2.404775838236436,0.8415744141562054,1.2709667737924022,-260.8528824009544,45.15127544807142,239.8487245519286,2.227255483930329,2.354151198259823,0.8736842105263158,0.37305070493204634,True,False,False,False,,False,1000000.0,,density|24h prior|none
density,phase,24h prior,none,1E6,primary,density,1,1E6_24stim_replicate1,540.0,1000000.0,279,1.1987130221193811,2.466280687014252,0.7983124887033621,1.2675676648948708,-253.00016553463547,56.27080304426395,222.72919695573603,2.225764312354767,2.3978572032268035,0.8315412186379928,0.37305070493204634,True,False,False,False,,False,1000000.0,,density|24h prior|none
density,phase,in-assay,none,1E6,primary,density,1,1E6_IAStim_rep1,540.0,1000000.0,137,0.5164761181405734,2.1730972693049586,0.5907670499726392,1.6566211511643854,-170.82903791574952,56.064911406798934,80.93508859320106,1.5292063364766357,1.7056648230592324,0.5766423357664233,0.37305070493204634,True,False,False,False,,False,1000000.0,,density|in-assay|none
density,phase,in-assay,none,1E6,primary,density,2,1E6_IAStim_rep2,540.0,1000000.0,128,0.016433797717353156,2.0104093077832355,0.7245572873028194,1.9939755100658823,-171.87332968555904,35.2566633773246,92.7433366226754,1.4837652999492752,1.7488463399430212,0.59375,0.37305070493204634,True,False,False,False,,False,1000000.0,,density|in-assay|none
pma,phase,activated,acute,10ug,primary,pma,1,24stim_PMA_acute_10ug_rep1,540.0,,95,0.3802151765455742,1.4354784986082465,0.37741634709036564,1.0552633220626724,-91.34775046321695,59.145462441866016,35.854537558133984,0.7888861152094531,0.692478602503467,0.23157894736842105,0.37305070493204634,True,False,False,False,,False,10.0,ug/mL,pma|activated|acute
pma,phase,activated,acute,10ug,primary,pma,2,24stim_PMA_acute_10ug_rep2,540.0,,148,0.5310313569489188,1.7938447663403647,0.31602136381783535,1.262813409391446,-158.60711152232375,101.2288526065809,46.7711473934191,0.9549933235292153,0.8468380686570276,0.2635135135135135,0.37305070493204634,True,False,False,False,,False,10.0,ug/mL,pma|activated|acute
pma,phase,activated,acute,2ug,primary,pma,1,24stim_PMA_acute_2ug_rep1,540.0,,170,0.7989250831425667,2.020049374392031,0.3996888857971481,1.2211242912494642,-201.06184233562442,102.0529157800891,67.9470842199109,1.2935529601653162,1.281773447724099,0.4235294117647059,0.37305070493204634,True,False,False,False,,False,2.0,ug/mL,pma|activated|acute
pma,phase,activated,acute,2ug,primary,pma,2,24stim_PMA_acute_2ug_rep2,540.0,,121,0.4734135535236323,1.8881580866802308,0.4426578613343599,1.4147445331565984,-139.92505193012175,67.43840608798956,53.56159391201044,1.1092204199247986,0.9956985305718377,0.38016528925619836,0.37305070493204634,True,False,False,False,,False,2.0,ug/mL,pma|activated|acute
pma,phase,activated,acute,50ug,primary,pma,1,24stim_PMA_acute_50ug_rep1,540.0,,126,0.47229575235948507,1.72235167056119,0.2824093451771826,1.250055918201705,-122.06355238877183,90.41643427915537,35.58356572084461,0.8501111782562315,0.6944535990528256,0.2222222222222222,0.37305070493204634,True,False,False,False,,False,50.0,ug/mL,pma|activated|acute
pma,phase,activated,acute,50ug,primary,pma,2,24stim_PMA_acute_50ug_rep2,540.0,,127,0.4983768815436999,1.4500773144579218,0.3032406591735909,0.9517004329142218,-115.14517616328258,88.48845934216241,38.51154065783758,0.7844624023576482,0.6725314838454098,0.15748031496062992,0.37305070493204634,True,False,False,False,,False,50.0,ug/mL,pma|activated|acute
pma,phase,activated,acute,NoPMA,primary,pma,1,24stim_PMA_acute_NoPMA_rep1,540.0,,174,0.7830122766213461,2.4336896721990837,0.7509752376737548,1.6506773955777376,-202.27808125939248,43.33030291310311,130.66969708689692,2.0337453623886947,2.326141641605677,0.764367816091954,0.37305070493204634,True,False,False,False,,False,0.0,ug/mL,pma|activated|acute
pma,phase,activated,acute,NoPMA,primary,pma,2,24stim_PMA_acute_NoPMA_rep2,540.0,,152,0.6444139720495861,2.359190350407965,0.7009635756862508,1.7147763783583791,-182.32755824227996,45.45353183071536,106.54646816928464,1.8410359243342918,2.132771191620895,0.6973684210526315,0.37305070493204634,True,False,False,False,,False,0.0,ug/mL,pma|activated|acute
pma,phase,activated,chronic,.08,primary,pma,1,24stim_PMA_chron_.08_rep1,540.0,,190,0.8159569705678081,2.101813910011794,0.7966330436978667,1.2858569394439856,-193.4982463414549,38.639705513265625,151.36029448673438,1.8752980374605823,2.0287831762805464,0.7631578947368421,0.37305070493204634,True,False,False,False,,False,0.08,ng/mL,pma|activated|chronic
pma,phase,activated,chronic,.08,primary,pma,2,24stim_PMA_chron_.08_rep2,540.0,,158,0.43076701779569193,2.1298705110597536,0.6659593820108695,1.6991034932640616,-208.98789235183142,52.7784133284668,105.2215866715332,1.5876428095171635,1.745142421011876,0.620253164556962,0.37305070493204634,True,False,False,False,,False,0.08,ng/mL,pma|activated|chronic
pma,phase,activated,chronic,.4,primary,pma,1,24stim_PMA_chron_.4_rep1,540.0,,105,0.5249796279835718,1.9364526286704753,0.4172355719097311,1.4114730006869034,-135.67503655820235,61.19027872250163,43.80972127749837,1.1377964290863327,1.0674184502343145,0.38095238095238093,0.37305070493204634,True,False,False,False,,False,0.4,ng/mL,pma|activated|chronic
pma,phase,activated,chronic,.4,primary,pma,2,24stim_PMA_chron_.4_rep2,540.0,,151,0.2887299572189939,1.9914120892863116,0.5924311817586251,1.7026821320673178,-200.03127439794838,61.542884200447034,89.45711579955297,1.3213209852926957,1.415270020868319,0.5033112582781457,0.37305070493204634,True,False,False,False,,False,0.4,ng/mL,pma|activated|chronic
pma,phase,activated,chronic,2,primary,pma,1,24stim_PMA_chron_2_rep1,540.0,,124,0.47052797410817976,1.706619321257875,0.4346874703673566,1.2360913471496953,-132.34352441187062,70.09876542008566,53.90123457991432,1.0283492651204695,0.9535032288511195,0.3629032258064516,0.37305070493204634,True,False,False,False,,False,2.0,ng/mL,pma|activated|chronic
pma,phase,activated,chronic,2,primary,pma,2,24stim_PMA_chron_2_rep2,540.0,,100,0.4180346843676103,1.6366047629120846,0.35532873009334326,1.2185700785444742,-111.98227637985705,64.46714432304628,35.53285567695373,0.8552940322392637,0.795810036992251,0.24,0.37305070493204634,True,False,False,False,,False,2.0,ng/mL,pma|activated|chronic
pma,phase,activated,chronic,NoPMA,primary,pma,1,24stim_PMA_chron_NoPMA_rep1,540.0,,122,0.8010970931445988,2.3904144813031643,0.7759049592353044,1.5893173881585656,-133.77256917784402,27.339588132687,94.66041186731302,2.0504862415716887,2.285946909729116,0.7786885245901639,0.37305070493204634,True,False,False,False,,False,0.0,ng/mL,pma|activated|chronic
pma,phase,activated,chronic,NoPMA,primary,pma,2,24stim_PMA_chron_NoPMA_rep2,540.0,,103,0.5566730503571371,2.4362578712538747,0.8463828944826436,1.8795848208967376,-118.05311449544008,15.822556151145067,87.17744384885495,2.177242648401533,2.4541333033343693,0.8446601941747572,0.37305070493204634,True,False,False,False,,False,0.0,ng/mL,pma|activated|chronic
density,phase,24h prior,none,25E4,primary,density,1,25E4_24stim_rep1,540.0,250000.0,102,0.2546954505031279,2.2846744894650732,0.6225531303352512,2.029979038961945,-135.13006058936188,38.499579911330805,63.50042008866919,1.5350432969985006,1.8858557255197526,0.6078431372549019,0.37305070493204634,True,False,False,False,,False,250000.0,,density|24h prior|none
density,phase,24h prior,none,25E4,primary,density,2,25E4_24stim_rep2,540.0,250000.0,153,0.7444478873577892,2.3829707446931794,0.860121786316622,1.6385228573353903,-147.28875817252708,21.401360026837825,131.59863997316216,2.1592988893785607,2.4076486836167965,0.8562091503267973,0.37305070493204634,True,False,False,False,,False,250000.0,,density|24h prior|none
density,phase,in-assay,none,25E4,primary,density,1,25E4_IAStim_rep1,540.0,250000.0,56,0.8544381648561558,2.2754893113188803,0.47521726402444575,1.4210511464627245,-61.01721997085746,29.387836066588996,26.612163933411004,1.5218853728797443,1.5158340434144235,0.5178571428571429,0.37305070493204634,True,False,False,False,,False,250000.0,,density|in-assay|none
density,phase,in-assay,none,25E4,primary,density,2,25E4_IAStim_rep2,540.0,250000.0,44,-0.1287170253252443,2.024397927785645,0.5855542460530072,2.1531149531108893,-60.17528760198294,18.23561304001514,25.76438695998486,1.1610615682185346,1.3274310012259773,0.4772727272727273,0.37305070493204634,True,False,False,False,,False,250000.0,,density|in-assay|none
density,phase,24h prior,none,5E5,primary,density,1,5E5_24stim_rep1,540.0,500000.0,217,1.013474700839146,2.3447312987469777,0.7918974508140377,1.3312565979078317,-222.33854986994706,45.15823753191546,171.84176246808454,2.078363857554592,2.2315259801177016,0.8018433179723502,0.37305070493204634,True,False,False,False,,False,500000.0,,density|24h prior|none
density,phase,24h prior,none,5E5,primary,density,2,5E5_24stim_rep2,540.0,500000.0,286,0.7759487122990181,2.3296171233532834,0.8999935716421037,1.5536684110542653,-260.3105685679616,28.601826105928417,257.39817389407153,2.186739558005521,2.363584994235259,0.8706293706293706,0.37305070493204634,True,False,False,False,,False,500000.0,,density|24h prior|none
density,phase,in-assay,none,5E5,primary,density,1,5E5_IAStim_rep1,540.0,500000.0,56,0.4294477025794629,2.1871003647892677,0.4897732146729728,1.7576526622098048,-62.36760109806018,28.572700293329028,27.42729970667097,1.2932045659409295,1.2058394579593155,0.48214285714285715,0.37305070493204634,True,False,False,False,,False,500000.0,,density|in-assay|none
density,phase,in-assay,none,5E5,primary,density,2,5E5_IAStim_rep2,540.0,500000.0,83,0.0637683984570958,2.001510093240198,0.6529329141364026,1.937741694783102,-105.3175495080288,28.80656710186981,54.19343289813018,1.3433006736764377,1.6164079720151479,0.5662650602409639,0.37305070493204634,True,False,False,False,,False,500000.0,,density|in-assay|none
pma,phase,naive,acute,10ug,primary,pma,1,Naive_PMA_acute_10ug_rep1,540.0,,34,0.48136158994501255,1.6687448382093357,0.25623280960260963,1.1873832482643232,-29.309528156457556,25.288089287978647,8.711910712021353,0.7978920904372068,0.5415583600541894,0.20588235294117646,0.37305070493204634,True,False,False,False,,False,10.0,ug/mL,pma|naive|acute
pma,phase,naive,acute,10ug,primary,pma,2,Naive_PMA_acute_10ug_rep2,540.0,,62,0.030715634070368477,1.7734149090864575,0.5685259487575769,1.742699275016089,-80.5450590103993,26.7513879311215,35.24861206887851,1.0333719842172744,1.153460269800726,0.41935483870967744,0.37305070493204634,True,False,False,False,,False,10.0,ug/mL,pma|naive|acute
pma,phase,naive,acute,2ug,primary,pma,1,Naive_PMA_acute_2ug_rep1,540.0,,40,0.6672560821643854,1.6566981217417371,0.5108351968521341,0.9894420395773518,-37.274016899977426,19.566580328032238,20.433419671967762,1.1684207400242905,1.289989358396877,0.35,0.37305070493204634,True,False,False,False,,False,2.0,ug/mL,pma|naive|acute
pma,phase,naive,acute,2ug,primary,pma,2,Naive_PMA_acute_2ug_rep2,540.0,,54,0.3599640585118758,1.7847474631543354,0.585489437772933,1.4247834046424597,-58.48000529138528,22.383567597184367,31.616432402815633,1.2045043996484825,1.3256550810368677,0.4444444444444444,0.37305070493204634,True,False,False,False,,False,2.0,ug/mL,pma|naive|acute
pma,phase,naive,acute,50ug,primary,pma,1,Naive_PMA_acute_50ug_rep1,540.0,,31,0.7194009564413295,1.9176914719207756,0.23658637952322964,1.198290515479446,-24.249683418945192,23.66582464494146,7.334175355058539,1.0091534380733913,0.780517927232077,0.25806451612903225,0.37305070493204634,True,False,False,False,,False,50.0,ug/mL,pma|naive|acute
pma,phase,naive,acute,50ug,primary,pma,2,Naive_PMA_acute_50ug_rep2,540.0,,32,0.25034761208475076,1.6344103039879632,0.3457889844235419,1.3840626919032124,-30.28849890082133,20.934753961240826,11.065246038759174,0.723016211219205,0.37039606182998086,0.21875,0.37305070493204634,True,False,False,False,,False,50.0,ug/mL,pma|naive|acute
pma,phase,naive,acute,NoPMA,primary,pma,1,Naive_PMA_acute_NoPMA_rep1,540.0,,25,0.5219203296658113,2.7118963206828943,0.11661111985337418,2.189975991017083,-13.066253011140148,22.08472200607774,2.9152779939222597,0.7885475257578086,0.5052063714459304,0.12,0.37305070493204634,True,False,True,False,,False,0.0,ug/mL,pma|naive|acute
pma,phase,naive,acute,NoPMA,primary,pma,2,Naive_PMA_acute_NoPMA_rep2,540.0,,42,0.377363763534955,2.516172091175166,0.10174412218003996,2.138808327640211,-23.436775085758846,37.72674754572869,4.273252454271304,0.5966641221448387,0.3365081070642727,0.11904761904761904,0.37305070493204634,True,False,True,False,,False,0.0,ug/mL,pma|naive|acute
pma,phase,naive,chronic,.08,primary,pma,1,Naive_PMA_chron_.08_rep1,540.0,,59,0.3128336907338597,2.2477005811067645,0.4379658650443867,1.9348668903729047,-71.63410037184758,33.160014892403005,25.839985107597,1.1738544028474827,0.8549539066437007,0.423728813559322,0.37305070493204634,True,False,False,False,,False,0.08,ng/mL,pma|naive|chronic
pma,phase,naive,chronic,.08,primary,pma,2,Naive_PMA_chron_.08_rep2,540.0,,51,0.18536568696440595,2.1735161355981725,0.318755637025903,1.9881504486337664,-59.223939383334525,34.74346299294785,16.256537007052152,0.8213352844445748,0.5502109640854469,0.3137254901960784,0.37305070493204634,True,False,False,False,,False,0.08,ng/mL,pma|naive|chronic
pma,phase,naive,chronic,.4,primary,pma,1,Naive_PMA_chron_.4_rep1,540.0,,59,0.3291743266513123,2.3052187888897446,0.5507406853446979,1.9760444622384323,-73.53613840029867,26.50629844472112,32.493701555278875,1.436072105631009,1.5334672332020143,0.5423728813559322,0.37305070493204634,True,False,False,False,,False,0.4,ng/mL,pma|naive|chronic
pma,phase,naive,chronic,.4,primary,pma,2,Naive_PMA_chron_.4_rep2,540.0,,46,0.1499731573011264,2.3952883209779015,0.5242487948293705,2.245315163676775,-51.471134855848234,21.884555243120065,24.115444756879935,1.3441528651334258,1.554216770553775,0.5217391304347826,0.37305070493204634,True,False,False,False,,False,0.4,ng/mL,pma|naive|chronic
pma,phase,naive,chronic,2,primary,pma,1,Naive_PMA_chron_2_rep1,540.0,,38,0.37366324367016324,2.1840470899212217,0.44963138611430714,1.8103838462510584,-40.983986249869766,20.91400836774513,17.08599163225487,1.2033351805814618,0.93213865070754,0.42105263157894735,0.37305070493204634,True,False,False,False,,False,2.0,ng/mL,pma|naive|chronic
pma,phase,naive,chronic,2,primary,pma,2,Naive_PMA_chron_2_rep2,540.0,,50,-0.024458824346161062,2.2048878182352003,0.5452151876520087,2.2293466425813615,-74.16601111401533,22.739239925480067,27.260760074519933,1.2475298469764375,1.341808966196373,0.46,0.37305070493204634,True,False,False,False,,False,2.0,ng/mL,pma|naive|chronic
pma,phase,naive,chronic,NoPMA,primary,pma,1,Naive_PMA_chron_NoPMA_rep1,540.0,,33,0.3107294779856222,2.805433513143999,0.1514265450672897,2.494704035158377,-25.350781875764802,28.002924012812716,4.997075987187283,0.7042014196988444,0.20031455235692933,0.15151515151515152,0.37305070493204634,True,False,True,False,,False,0.0,ng/mL,pma|naive|chronic
pma,phase,naive,chronic,NoPMA,primary,pma,2,Naive_PMA_chron_NoPMA_rep2,540.0,,55,0.3901736351862659,2.338859454435799,0.20366115141424843,1.948685819249533,-46.95441779945159,43.798636866531034,11.201363133468968,0.7985833411103339,0.3842619153115104,0.2,0.37305070493204634,True,False,False,False,,False,0.0,ng/mL,pma|naive|chronic
density,phase,24h prior,PMA,PMA,primary,density,1,PMA_5E5_24stim_Rep1,540.0,500000.0,158,0.4881219756589492,1.6475379379623782,0.24980470841562444,1.159415962303429,-153.03849239639365,118.5308748987571,39.46912510124288,0.7767450040223997,0.6857708288767772,0.189873417721519,0.37305070493204634,True,False,False,False,,False,,,density|24h prior|PMA
density,phase,24h prior,PMA,PMA,primary,density,2,PMA_5E5_24stim_Rep2,540.0,500000.0,110,0.5149435039234319,1.636565863676973,0.3810845131403309,1.121622359753541,-118.17105474414737,68.08072723005658,41.91927276994343,0.9536214986526848,0.954605170514786,0.2636363636363636,0.37305070493204634,True,False,False,False,,False,,,density|24h prior|PMA
