dataset,channel,activation,treatment,dose_label,construct,run,replicate,well,lag_sec,density_plated,n_cells,mu_lo,mu_hi,w_hi,sep,ll,n_lo_eff,n_hi_eff,mean_y,med_y,thr_frac,sigma_bio,converged,weak_low,weak_high,weak_sep,note,sigma_unstable,dose_num,pma_units,arm
dox,GFP,activated,run1,500,239,run1,1,run1_239_500_r1,600.0,,57,0.412616679023948,1.963374439083151,0.6377565694385977,1.5507577600592028,-71.12269751572346,20.647869303101608,36.35213069689839,1.4838229229180853,1.5065035982245865,0.5614035087719298,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run1
dox,GFP,activated,run1,500,239,run1,2,run1_239_500_r2,600.0,,43,0.3551955215258506,2.092126978990846,0.7316867889449565,1.7369314574649954,-53.47093196313136,11.537464906734897,31.462535093265107,1.666086844651302,1.6956365188561446,0.6744186046511628,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run1
dox,GFP,activated,run1,500,239,run1,3,run1_239_500_r3,600.0,,94,0.5624691904715711,1.9235248303412085,0.5355433540293953,1.3610556398696374,-105.02610888795412,43.65891863097596,50.34108136902403,1.349638084314308,1.4255350669511877,0.5106382978723404,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run1
dox,GFP,activated,run1,PMA,239,run1,1,run1_239_PMA_r1,600.0,,65,0.3561091676233106,1.5757973169312995,0.563301422823161,1.219688149307989,-73.60280849666248,28.38539515530614,36.614604844693865,1.0583091156332336,1.108612816304095,0.3692307692307692,0.30947326629309,True,False,False,False,,False,,,dox|activated|run1
dox,GFP,activated,run1,PMA,239,run1,3,run1_239_PMA_r3,600.0,,67,0.4514162629352021,1.3237840195595432,0.4767210320207941,0.8723677566243411,-59.76902788818601,35.05970775235459,31.94029224764541,0.9109746584345132,0.8645895631206426,0.2388059701492537,0.30947326629309,True,False,False,False,,False,,,dox|activated|run1
dox,GFP,activated,run1,untreated,239,run1,1,run1_239_untreated_r1,600.0,,63,0.5826339574319349,2.003311007673023,0.5965371553394923,1.420677050241088,-74.1884215078895,25.418150271737247,37.58184972826276,1.431337203024862,1.4601699519857838,0.5714285714285714,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run1
dox,GFP,activated,run1,untreated,239,run1,2,run1_239_untreated_r2,600.0,,216,1.0558170627931225,2.2529531572567376,0.5829513572048365,1.1971360944636151,-226.8244908749718,90.08248878548946,125.91751121451054,1.802927650567693,1.8998056504944365,0.6527777777777778,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run1
dox,GFP,activated,run1,untreated,239,run1,3,run1_239_untreated_r3,600.0,,309,0.866038582962059,2.2091658742991833,0.948613720794258,1.3431272913371242,-235.26048300664095,15.878351273462709,293.1216487265373,2.16325067118077,2.2507649838011368,0.9223300970873788,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run1
dox,GFP,activated,run1,100,240,run1,1,run1_240_100_r1,600.0,,100,0.2934267033030427,2.2648953716315914,0.5052217748791435,1.9714686683285487,-123.16125555327316,49.47781913662682,50.52218086337318,1.3359164100715537,1.349362062550462,0.47,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run1
dox,GFP,activated,run1,100,240,run1,2,run1_240_100_r2,600.0,,99,0.3478068907571269,2.291647864075626,0.4612763712881218,1.943840973318499,-125.07412983037877,53.33364253002923,45.66635746997077,1.2993753395758558,1.064089702936251,0.4444444444444444,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run1
dox,GFP,activated,run1,100,240,run1,3,run1_240_100_r3,600.0,,31,0.3506204473417004,2.4143814820924185,0.3682450247501236,2.0637610347507183,-32.95903757798826,19.58440497076584,11.41559502923416,1.1476143131676102,0.4903950812539415,0.3870967741935484,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run1
dox,GFP,activated,run1,20,240,run1,1,run1_240_20_r1,600.0,,60,0.1820288558604569,2.1015007298935684,0.6807811819774929,1.9194718740331111,-82.86435608441107,19.15312861520412,40.84687138479588,1.5735942670029814,1.6741235345351362,0.6333333333333333,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run1
dox,GFP,activated,run1,20,240,run1,2,run1_240_20_r2,600.0,,67,0.0843988658441916,2.1584800817903784,0.6961246197219135,2.0740812159461868,-91.08387774209196,20.35964800280799,46.64035199719202,1.576238029641308,1.950826345262052,0.6268656716417911,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run1
dox,GFP,activated,run1,20,240,run1,3,run1_240_20_r3,600.0,,45,0.4824263545492711,2.5014809861026075,0.5929020207132835,2.0190546315533364,-54.61650459962829,18.319407348003196,26.6805926519968,1.7154516609218986,2.030446179707595,0.6222222222222222,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run1
dox,GFP,activated,run1,500,240,run1,1,run1_240_500_r1,600.0,,77,0.8614675206516564,2.3053261804395415,0.5774274566795345,1.443858659787885,-95.51718381176283,32.538077852627076,44.46192214737292,1.7455137584519658,1.906622177206711,0.6233766233766234,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run1
dox,GFP,activated,run1,500,240,run1,2,run1_240_500_r2,600.0,,47,0.838984695677636,2.180195345980401,0.4240578355145168,1.3412106503027652,-56.09841627251264,27.069288962997646,19.93071103700235,1.44798302024066,1.2947230863230446,0.4680851063829787,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run1
dox,GFP,activated,run1,500,240,run1,3,run1_240_500_r3,600.0,,39,0.7243969417055397,2.3288584948270987,0.4719920914584209,1.604461553121559,-43.0368918925949,20.59230909315036,18.40769090684964,1.5426125166069349,1.323617595040919,0.4871794871794871,0.30947326629309,True,False,False,False,,False,500.0,,dox|activated|run1
dox,GFP,activated,run1,untreated,240,run1,1,run1_240_untreated_r1,600.0,,65,0.2322016512522276,2.0738575114082205,0.7009735509567502,1.841655860155993,-74.16568893588513,19.436718745286875,45.563281254713125,1.5731343199706054,1.818516202741714,0.6615384615384615,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run1
dox,GFP,activated,run1,untreated,240,run1,2,run1_240_untreated_r2,600.0,,34,0.284031013001731,2.4336698704178787,0.5423985446180991,2.149638857416148,-41.81169012711146,15.558448768612797,18.441551231387212,1.5209071205523976,1.8437323115328104,0.5294117647058824,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run1
dox,GFP,activated,run1,untreated,240,run1,3,run1_240_untreated_r3,600.0,,26,0.2875738626431893,2.0674284407759935,0.6055873713109788,1.779854578132804,-29.61105680784195,10.254728250734903,15.745271749265097,1.431745772456364,1.6040744502135813,0.5769230769230769,0.30947326629309,True,False,False,False,,False,0.0,,dox|activated|run1
dox,GFP,activated,run1,100,255,run1,1,run1_255_100_r1,600.0,,52,0.6920542820124237,1.9164219588612088,0.864103247191393,1.224367676848785,-49.55255979289963,7.066623041498964,44.93337695850104,1.8009220365404983,1.9243535483053016,0.75,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run1
dox,GFP,activated,run1,100,255,run1,2,run1_255_100_r2,600.0,,32,-0.0365701534369485,2.133228495366244,0.7481911925611195,2.1697986488031926,-36.54606951380428,8.057881357009872,23.942118642990128,1.6179322005702257,2.0839511171828,0.6875,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run1
dox,GFP,activated,run1,100,255,run1,3,run1_255_100_r3,600.0,,38,0.3704362365520964,2.267783557856371,0.8590607064412301,1.897347321304275,-42.006213373837056,5.355692026734153,32.644307973265846,2.00707909610609,2.2349091187610006,0.8421052631578947,0.30947326629309,True,False,False,False,,False,100.0,,dox|activated|run1
dox,GFP,activated,run1,20,255,run1,1,run1_255_20_r1,600.0,,80,0.2310917026086807,2.0631791600967713,0.8317078516872207,1.8320874574880903,-82.0997037959125,13.46337096107874,66.53662903892126,1.7850974444842862,2.0002107599834766,0.8,0.30947326629309,True,False,False,False,,False,20.0,,dox|activated|run1
