construct,dose_label,run,well,n_cells,mu_lo,mu_hi,w_hi,med_y
239,500,run1,run1_239_500_r1,57,0.412616679023948,1.963374439083151,0.6377565694385977,1.5065035982245865
239,500,run1,run1_239_500_r2,43,0.3551955215258506,2.092126978990846,0.7316867889449565,1.6956365188561446
239,500,run1,run1_239_500_r3,94,0.5624691904715711,1.9235248303412085,0.5355433540293953,1.4255350669511877
239,PMA,run1,run1_239_PMA_r1,65,0.3561091676233106,1.5757973169312995,0.563301422823161,1.108612816304095
239,PMA,run1,run1_239_PMA_r3,67,0.4514162629352021,1.3237840195595432,0.4767210320207941,0.8645895631206426
239,untreated,run1,run1_239_untreated_r1,63,0.5826339574319349,2.003311007673023,0.5965371553394923,1.4601699519857838
239,untreated,run1,run1_239_untreated_r2,216,1.0558170627931225,2.2529531572567376,0.5829513572048365,1.8998056504944365
239,untreated,run1,run1_239_untreated_r3,309,0.866038582962059,2.2091658742991833,0.948613720794258,2.2507649838011368
240,100,run1,run1_240_100_r1,100,0.2934267033030427,2.2648953716315914,0.5052217748791435,1.349362062550462
240,100,run1,run1_240_100_r2,99,0.3478068907571269,2.291647864075626,0.4612763712881218,1.064089702936251
240,100,run1,run1_240_100_r3,31,0.3506204473417004,2.4143814820924185,0.3682450247501236,0.4903950812539415
240,20,run1,run1_240_20_r1,60,0.1820288558604569,2.1015007298935684,0.6807811819774929,1.6741235345351362
240,20,run1,run1_240_20_r2,67,0.0843988658441916,2.1584800817903784,0.6961246197219135,1.950826345262052
240,20,run1,run1_240_20_r3,45,0.4824263545492711,2.5014809861026075,0.5929020207132835,2.030446179707595
240,500,run1,run1_240_500_r1,77,0.8614675206516564,2.3053261804395415,0.5774274566795345,1.906622177206711
240,500,run1,run1_240_500_r2,47,0.838984695677636,2.180195345980401,0.4240578355145168,1.2947230863230446
240,500,run1,run1_240_500_r3,39,0.7243969417055397,2.3288584948270987,0.4719920914584209,1.323617595040919
240,untreated,run1,run1_240_untreated_r1,65,0.2322016512522276,2.0738575114082205,0.7009735509567502,1.818516202741714
240,untreated,run1,run1_240_untreated_r2,34,0.284031013001731,2.4336698704178787,0.5423985446180991,1.8437323115328104
240,untreated,run1,run1_240_untreated_r3,26,0.2875738626431893,2.0674284407759935,0.6055873713109788,1.6040744502135813
255,100,run1,run1_255_100_r1,52,0.6920542820124237,1.9164219588612088,0.864103247191393,1.9243535483053016
255,100,run1,run1_255_100_r2,32,-0.0365701534369485,2.133228495366244,0.7481911925611195,2.0839511171828
255,100,run1,run1_255_100_r3,38,0.3704362365520964,2.267783557856371,0.8590607064412301,2.2349091187610006
255,20,run1,run1_255_20_r1,80,0.2310917026086807,2.0631791600967713,0.8317078516872207,2.0002107599834766
255,20,run1,run1_255_20_r2,45,0.492066590213973,2.215571756307373,0.7075227513081249,1.9115018559763235
255,20,run1,run1_255_20_r3,56,0.5690143351193832,2.2285765482521116,0.8167340807203287,2.102412703401258
255,500,run1,run1_255_500_r1,30,0.7087282781173405,1.9357463041951977,0.4041561287825866,1.0674411102061665
255,500,run1,run1_255_500_r2,26,-0.103155180991712,2.2396987446125234,0.8450871019214946,2.3316813367471756
255,500,run1,run1_255_500_r3,32,1.0208638966811971,2.0771581434000876,0.6904839027658507,1.9289793850988504
255,untreated,run1,run1_255_untreated_r1,30,-0.0017718548806018,1.96952061070933,0.5262332068702136,1.0755051454845512
255,untreated,run1,run1_255_untreated_r2,68,-0.0670967900097597,1.9886649753876584,0.7273111671699857,1.69543612095066
255,untreated,run1,run1_255_untreated_r3,36,0.7069098835802068,2.2996720246502735,0.5256662029955783,1.7194450427942765
257,100,run1,run1_257_100_r1,111,0.323706662586965,2.0545953465514195,0.678436213098071,1.828547909811289
257,100,run1,run1_257_100_r2,44,-0.1037006182277043,2.0411009042553427,0.5783195704270312,1.4911829770998244
257,100,run1,run1_257_100_r3,37,0.6285805050721655,2.197195406045202,0.5578340599262848,1.734230399847366
257,20,run1,run1_257_20_r1,66,0.0596988486214427,2.329780759448991,0.6812306480243631,2.1013782241514085
257,20,run1,run1_257_20_r2,51,-0.1306511022916819,2.0733592629133133,0.6794739432144024,1.5681213167766974
257,20,run1,run1_257_20_r3,38,0.520847179921363,2.0919757199844797,0.5685020148199642,1.5755568493707377
257,500,run1,run1_257_500_r1,36,-0.0224556812250103,1.8488946318762156,0.6905269789968921,1.548178186032864
257,500,run1,run1_257_500_r2,28,-0.188702571863992,1.8121354830678504,0.6840072586516157,1.3981803488173308
257,500,run1,run1_257_500_r3,47,0.9317806278611472,2.156572086397909,0.6969213556191484,2.021102621778049
257,untreated,run1,run1_257_untreated_r1,61,-0.1787023132264389,2.1533808964185703,0.7516660647816933,1.9120541396155208
257,untreated,run1,run1_257_untreated_r2,88,0.1158189065209205,1.9277260659271716,0.608406202097434,1.41868379427583
257,untreated,run1,run1_257_untreated_r3,31,0.7347501299581662,2.261444800497496,0.368307752828849,0.9261283765047902
239,500,run2,run2_239_500_r1,51,0.6041037099674882,1.8128325683629696,0.5971217265353631,1.3781221756873476
239,500,run2,run2_239_500_r2,44,0.3595054203620795,2.2210237237332757,0.6698132089458065,2.0882753654330974
239,500,run2,run2_239_500_r3,27,0.9652522313598718,2.3200507950523255,0.5432734194707022,1.7262340412625086
239,PMA,run2,run2_239_PMA_r1,45,0.8973698794457844,1.5592349777964118,0.6865631002727616,1.306189098643192
239,PMA,run2,run2_239_PMA_r2,27,0.1278317842029165,1.3186738498591817,0.6050875499477667,1.103794114127438
239,PMA,run2,run2_239_PMA_r3,48,0.9579265165600764,1.8246817095059709,0.4509286770824719,1.3574141005468037
239,untreated,run2,run2_239_untreated_r1,59,1.2036567949165022,2.2557420694817214,0.7342831461323532,2.024680841501219
239,untreated,run2,run2_239_untreated_r2,17,,,,
239,untreated,run2,run2_239_untreated_r3,32,1.082192604620695,2.334372667370366,0.7167584806450434,2.2286614887526626
240,100,run2,run2_240_100_r1,33,0.1085377560473531,1.993384227403875,0.4702169810228369,0.917148043651323
240,100,run2,run2_240_100_r2,34,0.4608526921598486,1.9226888645299216,0.6418790364951424,1.5832310721567242
240,100,run2,run2_240_100_r3,38,-0.0497777999918507,2.1711398259724755,0.5504991714910608,1.265204975307327
240,20,run2,run2_240_20_r1,29,0.1997270038511107,1.9752785944314248,0.4300494958536986,0.743860496754895
240,20,run2,run2_240_20_r2,44,0.1379102211501291,2.0008365547669404,0.6197194448800106,1.5748194270671578
240,20,run2,run2_240_20_r3,21,,,,
240,500,run2,run2_240_500_r1,51,-0.042213464902789,1.8336002050859572,0.678836253494164,1.3144835366419934
240,500,run2,run2_240_500_r2,36,0.4264639699713803,2.199012482867671,0.5194539635247309,1.524900448466068
240,500,run2,run2_240_500_r3,26,0.2731740554840798,2.063284535643493,0.6573742535925657,1.8227116867538775
240,untreated,run2,run2_240_untreated_r1,72,0.295409359749787,2.0178351994679233,0.6507588491248586,1.8045439802933327
240,untreated,run2,run2_240_untreated_r2,30,0.3540604886615852,2.4973638794098747,0.4837756911045534,1.353030100564883
240,untreated,run2,run2_240_untreated_r3,26,0.7475294751870561,2.054286919113046,0.3863955462883878,1.1578895001728773
255,100,run2,run2_255_100_r1,33,0.8595920805892546,2.4399390692689917,0.4714433707743717,1.6368255489447114
255,100,run2,run2_255_100_r2,37,0.1022264187238371,2.0709191926041393,0.6178952298998796,1.498947923927315
255,100,run2,run2_255_100_r3,25,0.7278151384197086,2.2604074504777816,0.5290330497424596,1.6237902901400556
255,20,run2,run2_255_20_r1,20,,,,
255,20,run2,run2_255_20_r2,55,-0.0190627174468601,2.268366400371354,0.8090576453463304,2.243111917560971
255,20,run2,run2_255_20_r3,35,0.6178954141269741,2.1968773329252183,0.659661848115531,1.877890443193049
255,500,run2,run2_255_500_r1,42,1.4228391598738548,2.514265977968635,0.2487022022655942,1.6641079321568557
255,500,run2,run2_255_500_r2,25,1.1695428409276525,2.625699433542137,0.450411848866536,1.7495840559333191
255,500,run2,run2_255_500_r3,21,,,,
255,untreated,run2,run2_255_untreated_r1,56,0.4826024866638882,2.0980815525265917,0.7597687483466261,2.036363291151763
255,untreated,run2,run2_255_untreated_r2,24,,,,
255,untreated,run2,run2_255_untreated_r3,37,0.9126363039996414,2.3776347227857544,0.7547502865671871,2.281174277405416
257,100,run2,run2_257_100_r1,271,0.5912305419303217,1.5538737149163366,0.7299902666914153,1.4361222482282925
257,100,run2,run2_257_100_r2,37,0.7081728238742663,2.353436327269531,0.5725925955530192,1.9120073217942433
257,100,run2,run2_257_100_r3,34,0.4500101892808398,1.9897166373464017,0.7126615143951129,1.911471842620839
257,20,run2,run2_257_20_r1,27,0.6141856124425309,2.3720598757648705,0.715140254983222,2.200775077014553
257,20,run2,run2_257_20_r2,26,-0.4391221627424543,2.094270283128891,0.6300933679125188,1.4464212083313783
257,20,run2,run2_257_20_r3,44,0.5253982936952148,2.441343454179049,0.8790018303518777,2.5027293680728064
257,500,run2,run2_257_500_r1,23,,,,
257,500,run2,run2_257_500_r2,31,1.0414352301574652,2.2610432042878013,0.5544346937196301,1.835458166290582
257,500,run2,run2_257_500_r3,33,0.7041756952417819,2.3022714893458973,0.6794715458742221,2.0026773011101633
257,untreated,run2,run2_257_untreated_r1,51,0.4736226256135334,2.1511108593566903,0.8097903659295843,1.8674721467408983
257,untreated,run2,run2_257_untreated_r2,40,0.3258134785344379,2.4228574143211548,0.7684518984286894,2.294671610475149
257,untreated,run2,run2_257_untreated_r3,35,0.5041573939751739,2.093825360486409,0.6942043492276836,1.8376998489796017
