group,cond,mu_lo,mu_hi,lo_min,lo_max,hi_min,hi_max,w_hi,mean_y,n,hi_weak,lo_weak,min_nhi
PMA: activated / acute,0,0.7137131243354661,2.3964400113035245,0.6444139720495861,0.7830122766213461,2.359190350407965,2.4336896721990837,0.7259694066800029,1.9373906433614934,2,False,False,106.54646816928464
PMA: activated / acute,10,0.4556232667472465,1.6146616324743057,0.3802151765455742,0.5310313569489188,1.4354784986082465,1.7938447663403647,0.3467188554541004,0.8719397193693341,2,False,False,35.854537558133984
PMA: activated / acute,2,0.6361693183330995,1.9541037305361308,0.4734135535236323,0.7989250831425667,1.8881580866802308,2.020049374392031,0.421173373565754,1.2013866900450574,2,False,False,53.56159391201044
PMA: activated / acute,50,0.48533631695159246,1.5862144925095558,0.472295752359485,0.4983768815436999,1.4500773144579218,1.72235167056119,0.29282500217538676,0.8172867903069398,2,False,False,35.58356572084461
PMA: activated / chronic,.08,0.62336199418175,2.1158422105357735,0.4307670177956919,0.8159569705678081,2.101813910011794,2.1298705110597536,0.7312962128543681,1.731470423488873,2,False,False,105.2215866715332
PMA: activated / chronic,.4,0.4068547926012829,1.9639323589783935,0.2887299572189939,0.5249796279835718,1.9364526286704753,1.9914120892863116,0.5048333768341781,1.2295587071895142,2,False,False,43.80972127749837
PMA: activated / chronic,0,0.6788850717508679,2.4133361762785195,0.5566730503571371,0.8010970931445988,2.3904144813031643,2.4362578712538747,0.811143926858974,2.1138644449866106,2,False,False,87.17744384885495
PMA: activated / chronic,2,0.444281329237895,1.6716120420849798,0.4180346843676103,0.4705279741081797,1.6366047629120846,1.706619321257875,0.39500810023034993,0.9418216486798666,2,False,False,35.53285567695373
PMA: naive / acute,0,0.4496420466003831,2.6140342059290305,0.377363763534955,0.5219203296658113,2.516172091175166,2.7118963206828943,0.109177621016707,0.6926058239513236,2,True,False,2.9152779939222597
PMA: naive / acute,10,0.25603861200769046,1.7210798736478965,0.0307156340703684,0.4813615899450125,1.6687448382093355,1.7734149090864575,0.41237937918009326,0.9156320373272406,2,True,False,8.711910712021353
PMA: naive / acute,2,0.5136100703381306,1.7207227924480364,0.3599640585118758,0.6672560821643854,1.6566981217417371,1.7847474631543354,0.5481623173125336,1.1864625698363862,2,False,False,20.43341967196776
