figure,panel,condition,n_wells,n_cells,arith_mean_um2,arith_sem_um2,rel_motility,rel_motility_sem,cells_hi_um2,cells_lo_um2,cells_hi_lo_ratio,fit_mu_hi_um2,fit_mu_lo_um2,fit_hi_lo_ratio,rho_high_pct,rho_low_pct,rel_overall_geo,rel_high_geo,rel_low_geo,rel_high_fit,rel_low_fit,is_reference,min_n_hi_eff,high_state_reliable
Fig 4b,24h prior,25E4,2,255,274.2,55.4,0.874,0.177,229.7,2.95,77.8,215.7,3.16,68.3,76.5,23.5,0.518,0.978,0.44,0.992,0.403,False,63.5,True
Fig 4b,24h prior,5E5,2,503,313.8,11.1,1.0,0.035,234.9,6.7,35.0,217.4,7.85,27.7,84.9,15.1,1.0,1.0,1.0,1.0,1.0,True,171.8,True
Fig 4b,24h prior,1E6,2,564,360.6,4.4,1.149,0.014,294.8,11.26,26.2,272.6,14.66,18.6,82.8,17.2,1.242,1.255,1.679,1.254,1.869,False,222.7,True
Fig 4b,24h prior,5E5+PMA,2,268,30.6,3.5,0.098,0.011,60.3,3.22,18.7,43.9,3.17,13.8,27.2,72.8,0.054,0.257,0.48,0.202,0.404,False,39.5,True
Fig 4b,in-assay,25E4,2,100,151.4,1.3,0.482,0.004,156.0,2.21,70.6,141.2,2.31,61.2,52.0,48.0,0.162,0.664,0.33,0.65,0.294,False,25.8,True
Fig 4b,in-assay,5E5,2,139,125.5,3.2,0.4,0.01,136.2,1.71,79.6,124.3,1.76,70.4,58.3,41.7,0.153,0.58,0.255,0.572,0.225,False,27.4,True
Fig 4b,in-assay,1E6,2,265,168.9,12.4,0.538,0.039,139.0,1.91,72.6,123.5,1.85,66.9,64.9,35.1,0.237,0.592,0.286,0.568,0.235,False,80.9,True
Fig 4b,in-assay,5E5+PMA,2,156,65.5,14.6,0.209,0.046,77.0,2.12,36.4,36.0,6.58,5.5,54.7,45.3,0.126,0.328,0.315,0.165,0.838,False,23.3,True
Fig 4c,activated · PMA added at 0 h,0 ng/mL,2,326,295.4,36.4,1.0,0.123,266.4,4.66,57.1,249.1,5.17,48.2,72.4,27.6,1.0,1.0,1.0,1.0,1.0,True,106.5,True
Fig 4c,activated · PMA added at 0 h,2 ng/mL,2,291,70.5,9.8,0.239,0.033,100.5,4.05,24.8,90.0,4.33,20.8,41.9,58.1,0.184,0.377,0.869,0.361,0.836,False,53.6,True
Fig 4c,activated · PMA added at 0 h,10 ng/mL,2,243,33.1,7.0,0.112,0.024,48.1,2.62,18.3,41.2,2.86,14.4,35.4,64.6,0.086,0.181,0.563,0.165,0.552,False,35.9,True
Fig 4c,activated · PMA added at 0 h,50 ng/mL,2,253,27.9,8.3,0.094,0.028,51.6,2.96,17.4,38.6,3.06,12.6,28.1,71.9,0.076,0.194,0.636,0.155,0.591,False,35.6,True
Fig 4c,activated · PMA added at −48 h,0 ng/mL,2,225,381.2,43.8,1.0,0.115,272.8,3.87,70.6,259.0,4.77,54.3,81.8,18.2,1.0,1.0,1.0,1.0,1.0,True,87.2,True
