well,dataset,channel,n,dBIC
1E6_24stim_rep2,density,phase,285,-110.5886126549613
1E6_24stim_replicate1,density,phase,279,-133.87763883199514
1E6_IAStim_rep1,density,phase,137,-280.26834105073806
1E6_IAStim_rep2,density,phase,128,-387.1377797732732
24stim_PMA_acute_10ug_rep1,pma,phase,95,-43.40104208629264
24stim_PMA_acute_10ug_rep2,pma,phase,148,-111.48368900714856
24stim_PMA_acute_2ug_rep1,pma,phase,170,-140.37195661396083
24stim_PMA_acute_2ug_rep2,pma,phase,121,-160.7690566390344
24stim_PMA_acute_50ug_rep1,pma,phase,126,-84.15707082476543
24stim_PMA_acute_50ug_rep2,pma,phase,127,-35.6529309867943
24stim_PMA_acute_NoPMA_rep1,pma,phase,174,-243.16814599928009
24stim_PMA_acute_NoPMA_rep2,pma,phase,152,-269.160349939312
24stim_PMA_chron_.08_rep1,pma,phase,190,-118.91886185531285
24stim_PMA_chron_.08_rep2,pma,phase,158,-307.3144397654129
24stim_PMA_chron_.4_rep1,pma,phase,105,-128.88807799387934
24stim_PMA_chron_.4_rep2,pma,phase,151,-363.99043735556444
24stim_PMA_chron_2_rep1,pma,phase,124,-106.13562689702773
24stim_PMA_chron_2_rep2,pma,phase,100,-80.75540250833454
24stim_PMA_chron_NoPMA_rep1,pma,phase,122,-146.68594323849877
24stim_PMA_chron_NoPMA_rep2,pma,phase,103,-154.01163681971775
25E4_24stim_rep1,density,phase,102,-339.24426237838094
25E4_24stim_rep2,density,phase,153,-128.11417488312674
25E4_IAStim_rep1,density,phase,56,-67.44632771391845
25E4_IAStim_rep2,density,phase,44,-195.27272449271214
5E5_24stim_rep1,density,phase,217,-130.9877611466456
5E5_24stim_rep2,density,phase,286,-126.68109519880213
5E5_IAStim_rep1,density,phase,56,-139.8162178380661
5E5_IAStim_rep2,density,phase,83,-247.30557569117298
Naive_PMA_acute_10ug_rep1,pma,phase,34,-15.180268403993809
Naive_PMA_acute_10ug_rep2,pma,phase,62,-162.1190163178565
Naive_PMA_acute_2ug_rep1,pma,phase,40,-13.048213843188623
Naive_PMA_acute_2ug_rep2,pma,phase,54,-74.16553100931638
Naive_PMA_acute_50ug_rep1,pma,phase,31,-10.913527585700221
Naive_PMA_acute_50ug_rep2,pma,phase,32,-30.222321013216234
Naive_PMA_acute_NoPMA_rep1,pma,phase,25,-20.730229053311465
Naive_PMA_acute_NoPMA_rep2,pma,phase,42,-65.25843969636779
Naive_PMA_chron_.08_rep1,pma,phase,59,-202.9419601519461
Naive_PMA_chron_.08_rep2,pma,phase,51,-153.00338714834461
Naive_PMA_chron_.4_rep1,pma,phase,59,-209.46277459218246
Naive_PMA_chron_.4_rep2,pma,phase,46,-204.35400383573733
Naive_PMA_chron_2_rep1,pma,phase,38,-111.82174482062811
Naive_PMA_chron_2_rep2,pma,phase,50,-253.8716647033369
Naive_PMA_chron_NoPMA_rep1,pma,phase,33,-81.25320406979253
Naive_PMA_chron_NoPMA_rep2,pma,phase,55,-78.78591639560284
PMA_5E5_24stim_Rep1,density,phase,158,-78.2016366234304
PMA_5E5_24stim_Rep2,density,phase,110,-73.73587506467132
PMA_5E5_IAStim_rep1,density,phase,70,8.496990486121492
PMA_5E5_IAStim_rep2,density,phase,86,-130.038237148849
run1_239_500_r1,dox,GFP,57,-97.35145556939806
run1_239_500_r2,dox,GFP,43,-91.74680033365958
run1_239_500_r3,dox,GFP,94,-101.14051867046284
run1_239_PMA_r1,dox,GFP,65,-56.52432256066452
run1_239_PMA_r3,dox,GFP,67,-15.000358708973428
run1_239_untreated_r1,dox,GFP,63,-77.21772075020947
run1_239_untreated_r2,dox,GFP,216,-140.28556709938027
run1_239_untreated_r3,dox,GFP,309,-56.98437874870811
run1_240_100_r1,dox,GFP,100,-320.05768899101366
run1_240_100_r2,dox,GFP,99,-280.7189011667302
run1_240_100_r3,dox,GFP,31,-80.4383392299937
run1_240_20_r1,dox,GFP,60,-190.38486704411926
run1_240_20_r2,dox,GFP,67,-245.3781598246036
run1_240_20_r3,dox,GFP,45,-125.10300082590041
run1_240_500_r1,dox,GFP,77,-73.81272898988937
run1_240_500_r2,dox,GFP,47,-42.00148323371045
run1_240_500_r3,dox,GFP,39,-56.66428100802482
run1_240_untreated_r1,dox,GFP,65,-166.40307626194644
run1_240_untreated_r2,dox,GFP,34,-123.09698149841212
run1_240_untreated_r3,dox,GFP,26,-67.43739769746453
run1_255_100_r1,dox,GFP,52,-18.53524138548294
run1_255_100_r2,dox,GFP,32,-122.03202486116943
run1_255_100_r3,dox,GFP,38,-26.182543074415456
run1_255_20_r1,dox,GFP,80,-139.56713352616586
run1_255_20_r2,dox,GFP,45,-71.29946182264801
run1_255_20_r3,dox,GFP,56,-78.84694883409819
run1_255_500_r1,dox,GFP,30,-17.308162922823985
run1_255_500_r2,dox,GFP,26,-96.95945347774567
run1_255_500_r3,dox,GFP,32,-7.859141796959354
run1_255_untreated_r1,dox,GFP,30,-93.27330745219415
run1_255_untreated_r2,dox,GFP,68,-249.95769142252965
run1_255_untreated_r3,dox,GFP,36,-46.07136596277965
run1_257_100_r1,dox,GFP,111,-228.31605872902543
run1_257_100_r2,dox,GFP,44,-178.36083532592244
run1_257_100_r3,dox,GFP,37,-70.85252279660425
run1_257_20_r1,dox,GFP,66,-279.6477543863978
run1_257_20_r2,dox,GFP,51,-216.60008788688015
run1_257_20_r3,dox,GFP,38,-61.79050667750878
run1_257_500_r1,dox,GFP,36,-98.95496125925176
run1_257_500_r2,dox,GFP,28,-87.24071885025543
run1_257_500_r3,dox,GFP,47,-24.61789939106125
run1_257_untreated_r1,dox,GFP,61,-262.49916673104053
run1_257_untreated_r2,dox,GFP,88,-245.33803084060503
run1_257_untreated_r3,dox,GFP,31,-39.31705022122562
run2_239_500_r1,dox,GFP,51,-49.78894876150946
run2_239_500_r2,dox,GFP,44,-122.31135841448491
run2_239_500_r3,dox,GFP,27,-21.9513216221877
run2_239_PMA_r1,dox,GFP,45,1.459254047150086
run2_239_PMA_r2,dox,GFP,27,-22.666775566604024
run2_239_PMA_r3,dox,GFP,48,-5.746633183831089
run2_239_untreated_r1,dox,GFP,59,-19.2661773609685
run2_239_untreated_r3,dox,GFP,32,-11.429663921939106
run2_240_100_r1,dox,GFP,33,-91.07660234480629
run2_240_100_r2,dox,GFP,34,-30.404390231236427
run2_240_100_r3,dox,GFP,38,-173.71289781356992
run2_240_20_r1,dox,GFP,29,-62.40176230697524
run2_240_20_r2,dox,GFP,44,-139.7120611457182
run2_240_500_r1,dox,GFP,51,-140.72942907477605
run2_240_500_r2,dox,GFP,36,-86.72700288065637
run2_240_500_r3,dox,GFP,26,-65.08423370868753
run2_240_untreated_r1,dox,GFP,72,-176.8128642940485
run2_240_untreated_r2,dox,GFP,30,-114.88228615368715
